2020-01-07 00:23:46 INFO  Logger:37 - Clicked on: [[ChromeDriver: chrome on XP (89261bb814d42857f42b34032418c0fd)] -> xpath: //a[attribute::href='https://ui.cogmento.com']]
2020-01-07 00:23:50 INFO  Logger:17 - Before navigating to: 'https://www.freecrm.com/'
2020-01-07 00:23:52 INFO  Logger:21 - Navigated to:'https://www.freecrm.com/'
2020-01-07 00:23:52 INFO  Logger:74 - Trying to find Element By : By.xpath: //a[attribute::href='https://ui.cogmento.com']
2020-01-07 00:23:52 INFO  Logger:80 - Found Element By : By.xpath: //a[attribute::href='https://ui.cogmento.com']
2020-01-07 00:23:52 INFO  Logger:33 - Trying to click on: [[ChromeDriver: chrome on XP (d41bfb472c73bdab2bb540add818fb66)] -> xpath: //a[attribute::href='https://ui.cogmento.com']]
2020-01-07 00:23:53 INFO  Logger:37 - Clicked on: [[ChromeDriver: chrome on XP (d41bfb472c73bdab2bb540add818fb66)] -> xpath: //a[attribute::href='https://ui.cogmento.com']]
2020-01-07 00:23:53 INFO  Logger:74 - Trying to find Element By : By.name: email
2020-01-07 00:23:54 INFO  Logger:80 - Found Element By : By.name: email
2020-01-07 00:23:54 INFO  Logger:74 - Trying to find Element By : By.name: password
2020-01-07 00:23:54 INFO  Logger:80 - Found Element By : By.name: password
2020-01-07 00:23:54 INFO  Logger:74 - Trying to find Element By : By.xpath: //div[@class='ui fluid large blue submit button']
2020-01-07 00:23:54 INFO  Logger:80 - Found Element By : By.xpath: //div[@class='ui fluid large blue submit button']
2020-01-07 00:23:54 INFO  Logger:33 - Trying to click on: [[ChromeDriver: chrome on XP (d41bfb472c73bdab2bb540add818fb66)] -> xpath: //div[@class='ui fluid large blue submit button']]
2020-01-07 00:23:54 INFO  Logger:37 - Clicked on: [[ChromeDriver: chrome on XP (d41bfb472c73bdab2bb540add818fb66)] -> xpath: //div[@class='ui fluid large blue submit button']]
2020-01-07 00:23:59 INFO  Logger:17 - Before navigating to: 'https://www.freecrm.com/'
2020-01-07 00:24:01 INFO  Logger:21 - Navigated to:'https://www.freecrm.com/'
2020-01-07 00:24:01 INFO  Logger:74 - Trying to find Element By : By.xpath: //a[attribute::href='https://ui.cogmento.com']
2020-01-07 00:24:01 INFO  Logger:80 - Found Element By : By.xpath: //a[attribute::href='https://ui.cogmento.com']
2020-01-07 00:24:01 INFO  Logger:33 - Trying to click on: [[ChromeDriver: chrome on XP (d4923e0b738099333d39e87ba571fdaa)] -> xpath: //a[attribute::href='https://ui.cogmento.com']]
2020-01-07 00:24:04 INFO  Logger:37 - Clicked on: [[ChromeDriver: chrome on XP (d4923e0b738099333d39e87ba571fdaa)] -> xpath: //a[attribute::href='https://ui.cogmento.com']]
2020-01-07 00:24:04 INFO  Logger:74 - Trying to find Element By : By.name: email
2020-01-07 00:24:05 INFO  Logger:80 - Found Element By : By.name: email
2020-01-07 00:24:05 INFO  Logger:74 - Trying to find Element By : By.name: password
2020-01-07 00:24:05 INFO  Logger:80 - Found Element By : By.name: password
2020-01-07 00:24:05 INFO  Logger:74 - Trying to find Element By : By.xpath: //div[@class='ui fluid large blue submit button']
2020-01-07 00:24:05 INFO  Logger:80 - Found Element By : By.xpath: //div[@class='ui fluid large blue submit button']
2020-01-07 00:24:05 INFO  Logger:33 - Trying to click on: [[ChromeDriver: chrome on XP (d4923e0b738099333d39e87ba571fdaa)] -> xpath: //div[@class='ui fluid large blue submit button']]
2020-01-07 00:24:05 INFO  Logger:37 - Clicked on: [[ChromeDriver: chrome on XP (d4923e0b738099333d39e87ba571fdaa)] -> xpath: //div[@class='ui fluid large blue submit button']]
2020-01-07 00:24:05 INFO  Logger:74 - Trying to find Element By : By.xpath: //div/a[attribute::href='/contacts']
2020-01-07 00:24:06 INFO  Logger:80 - Found Element By : By.xpath: //div/a[attribute::href='/contacts']
2020-01-07 00:24:06 INFO  Logger:33 - Trying to click on: [[ChromeDriver: chrome on XP (d4923e0b738099333d39e87ba571fdaa)] -> xpath: //div/a[attribute::href='/contacts']]
2020-01-07 00:24:06 INFO  Logger:37 - Clicked on: [[ChromeDriver: chrome on XP (d4923e0b738099333d39e87ba571fdaa)] -> xpath: //div/a[attribute::href='/contacts']]
2020-01-07 00:24:06 INFO  Logger:74 - Trying to find Element By : By.xpath: //a[@href='/contacts/new']
2020-01-07 00:24:06 INFO  Logger:80 - Found Element By : By.xpath: //a[@href='/contacts/new']
2020-01-07 00:24:06 INFO  Logger:33 - Trying to click on: [[ChromeDriver: chrome on XP (d4923e0b738099333d39e87ba571fdaa)] -> xpath: //a[@href='/contacts/new']]
2020-01-07 00:24:06 INFO  Logger:37 - Clicked on: [[ChromeDriver: chrome on XP (d4923e0b738099333d39e87ba571fdaa)] -> xpath: //a[@href='/contacts/new']]
2020-01-07 00:24:06 INFO  Logger:74 - Trying to find Element By : By.xpath: //input[@name='first_name']
